,address,postcode,Huurprijs,Aangeboden sinds,Status,Beschikbaar,Interieur,Woonoppervlakte,Perceeloppervlakte,Inhoud,Type woning,Soort woning,Soort bouw,Bouwjaar,Aantal kamers,Aantal slaapkamers,Aantal badkamers,Aantal woonlagen,Aanwezig,url,Ligging,Voorzieningen,Tuinbeschrijving,Isolatie,Verwarming,Huurovereenkomst,Looptijd,Servicekosten,Balkon,Tuin,Onderhoudsstaat,Warm water,Omschrijving,Borg,Schuur/Berging,region,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,energielabel,balcony,Garden,garden_size,garden,Deposit,Duration
44,Appartement Marshalllaan in Utrecht,3527 TV ,"€ 1.450 per maand

Exclusief: Servicekosten",3 weken,Onder optie,Per 02-01-2023,Kaal,78 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1960.0,3.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1316551/marshalllaan/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 45,Aanwezig,,,,,,,Kanaleneiland-Noord,1450,45,78,3.0,,,,True,,,False,,Minimaal 12 maanden
45,Huis Korenbloemstraat in Utrecht,3551 GM ,€ 1.750 per maand,21-10-2022,Te huur,Per 01-12-2022,Gestoffeerd,85 m²,,,"Huis
Bekijk alle huizen in Utrecht","Tussenwoning, Eengezinswoning",,1906.0,4.0,2.0,2.0,,Nee,https://www.huurwoningen.nl/huren/utrecht/1320406/korenbloemstraat/,,"Dakterras
 Bad",,,,,,,,Aanwezig,,,,,,"Egelantierstraat, Mariëndaalstraat e.o.",1750,,85,4.0,2.0,2.0,,False,Aanwezig,,True,,
46,Appartement Loeff Berchmakerstraat in Utrecht,3512 TC ,"€ 1.050 per maand

Inclusief: Servicekosten, Elektra, Gas, Water",09-10-2022,Te huur,Per direct,Kaal,35 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Galerijflat, Appartement",,,2.0,,1.0,,Nee,https://www.huurwoningen.nl/huren/utrecht/1318124/loeff-berchmakerstraat/,,,,,,,,,Niet aanwezig,Niet aanwezig,,,,,,Breedstraat en Plompetorengracht en omgeving,1050,,35,2.0,,1.0,,False,Niet aanwezig,,False,,
47,Appartement Faustdreef in Utrecht,3561 LK ,"€ 1.450 per maand

Exclusief: Servicekosten",3 maanden,Te huur,Per 30-11-2022,Kaal,80 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1967.0,4.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1302923/faustdreef/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 63,Aanwezig,,,,,,,Taag- en Rubicondreef en omgeving,1450,63,80,4.0,,,,True,,,False,,Minimaal 12 maanden
48,Appartement Marshalllaan in Utrecht,3527 TV ,"€ 1.395 per maand

Exclusief: Servicekosten",2 maanden,Te huur,Per direct,Kaal,78 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1960.0,3.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1306144/marshalllaan/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 45,Aanwezig,,,,,,,Kanaleneiland-Noord,1395,45,78,3.0,,,,True,,,False,,Minimaal 12 maanden
49,Appartement Marshalllaan in Utrecht,3527 TW ,"€ 925 per maand

Exclusief: Servicekosten",2 maanden,Onder optie,Per 01-11-2022,Kaal,41 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1960.0,2.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1305939/marshalllaan/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 45,Aanwezig,,,,,,,Kanaleneiland-Noord,925,45,41,2.0,,,,True,,,False,,Minimaal 12 maanden
50,Huis Wijde Doelen in Utrecht,3512 XN ,€ 1.495 per maand,18-10-2022,Te huur,Per 01-11-2022,Gestoffeerd,84 m²,,,"Huis
Bekijk alle huizen in Utrecht","Tussenwoning, Eengezinswoning",,,3.0,2.0,1.0,,Nee,https://www.huurwoningen.nl/huren/utrecht/1319641/wijde-doelen/,,"Kelder
 Bad",,,,,,,,,,,,,,Lange Nieuwstraat en omgeving,1495,,84,3.0,2.0,1.0,,False,,,False,,
51,Appartement Marshalllaan in Utrecht,3527 TW ,"€ 1.450 per maand

Exclusief: Servicekosten",3 weken,Onder optie,Per 01-11-2022,Kaal,78 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1960.0,3.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1316502/marshalllaan/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 45,Aanwezig,,,,,,,Kanaleneiland-Noord,1450,45,78,3.0,,,,True,,,False,,Minimaal 12 maanden
52,Appartement Catharijnesingel in Utrecht,3511 GM ,"€ 1.600 per maand

Exclusief: Servicekosten",3 weken,Te huur,Per direct,Gemeubileerd,32 m²,,95 m³,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",Bestaande bouw,1920.0,2.0,1.0,0.0,1.0,Nee,https://www.huurwoningen.nl/huren/utrecht/1316479/catharijnesingel/,,,,,,Onbepaalde tijd,,€ 250,,Niet aanwezig,Goed,,,,,Hooch Boulandt,1600,250,32,2.0,1.0,0.0,,False,Niet aanwezig,,False,,
53,Appartement Marshalllaan in Utrecht,3527 TJ ,"€ 1.395 per maand

Exclusief: Servicekosten",2 maanden,Onder optie,Per direct,Kaal,78 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1960.0,3.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1306646/marshalllaan/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 45,Aanwezig,,,,,,,Kanaleneiland-Noord,1395,45,78,3.0,,,,True,,,False,,Minimaal 12 maanden
54,Appartement Tannhäuserdreef in Utrecht,3561 HS ,"€ 1.450 per maand

Exclusief: Servicekosten",3+ maanden,Te huur,Per 01-11-2022,Kaal,80 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1965.0,4.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1298335/tannhaeuserdreef/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 63,Aanwezig,,,,,,,Taag- en Rubicondreef en omgeving,1450,63,80,4.0,,,,True,,,False,,Minimaal 12 maanden
55,Appartement Faustdreef in Utrecht,3561 LC ,"€ 1.450 per maand

Exclusief: Servicekosten",2 maanden,Te huur,Per 12-11-2022,Kaal,80 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1967.0,4.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1307263/faustdreef/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 63,Aanwezig,,,,,,,Taag- en Rubicondreef en omgeving,1450,63,80,4.0,,,,True,,,False,,Minimaal 12 maanden
56,Appartement Monnetlaan in Utrecht,3527 GN ,"€ 1.350 per maand

Exclusief: Servicekosten",4 weken,Te huur,Per 01-11-2022,Kaal,57 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1960.0,3.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1315000/monnetlaan/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 45,,"Aanwezig (30 m², gelegen op het zuidwesten)",,,,,,Kanaleneiland-Noord,1350,45,57,3.0,,,,False,Aanwezig,30,True,,Minimaal 12 maanden
57,Appartement Marshalllaan in Utrecht,3527 TH ,"€ 1.450 per maand

Exclusief: Servicekosten",7 weken,Te huur,Per 01-11-2022,Kaal,78 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1960.0,3.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1311397/marshalllaan/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 45,Aanwezig,,,,,,,Kanaleneiland-Noord,1450,45,78,3.0,,,,True,,,False,,Minimaal 12 maanden
58,Appartement Breedstraat in Utrecht,3512 TX ,€ 1.400 per maand,2 weken,Te huur,Per direct,,48 m²,,300 m³,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",Bestaande bouw,1993.0,2.0,1.0,0.0,1.0,Nee,https://www.huurwoningen.nl/huren/utrecht/1317560/breedstraat/,,,,,,Onbepaalde tijd,,,,Niet aanwezig,Goed,,,,,Breedstraat en Plompetorengracht en omgeving,1400,,48,2.0,1.0,0.0,,False,Niet aanwezig,,False,,
59,Appartement Faustdreef in Utrecht,3561 LR ,"€ 1.395 per maand

Exclusief: Servicekosten",3+ maanden,Te huur,Per direct,Kaal,80 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1967.0,4.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1287249/faustdreef/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 63,Aanwezig,,,,,,,Taag- en Rubicondreef en omgeving,1395,63,80,4.0,,,,True,,,False,,Minimaal 12 maanden
60,Appartement Tannhäuserdreef in Utrecht,3561 HK ,"€ 1.450 per maand

Exclusief: Servicekosten",3+ maanden,Te huur,Per 01-11-2022,Kaal,80 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1965.0,4.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1290023/tannhaeuserdreef/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 63,Aanwezig,,,,,,,Taag- en Rubicondreef en omgeving,1450,63,80,4.0,,,,True,,,False,,Minimaal 12 maanden
61,Appartement Tannhäuserdreef in Utrecht,3561 HL ,"€ 1.450 per maand

Exclusief: Servicekosten",7 weken,Te huur,Per 01-11-2022,Kaal,80 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1965.0,4.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1311189/tannhaeuserdreef/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 63,Aanwezig,,,,,,,Taag- en Rubicondreef en omgeving,1450,63,80,4.0,,,,True,,,False,,Minimaal 12 maanden
62,Appartement Borneostraat in Utrecht,3531 PH ,€ 1.300 per maand,3 weken,Te huur,Per direct,Gemeubileerd,60 m²,,,"Appartement
Bekijk alle appartementen in Utrecht",,Bestaande bouw,1915.0,2.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1302439/borneostraat/,,"Internet
 Aparte douche",,,,Onbepaalde tijd,,,Niet aanwezig,Niet aanwezig,Goed,,,,,Lombok-Oost,1300,,60,2.0,,,,False,Niet aanwezig,,False,,
63,Appartement Van Sijpesteijnkade in Utrecht,3521 AH ,€ 950 per maand,3 maanden,Te huur,Per direct,,43 m²,,112 m³,"Appartement
Bekijk alle appartementen in Utrecht","Galerijflat, Appartement",Nieuwbouw,2022.0,2.0,1.0,0.0,14.0,Nee,https://www.huurwoningen.nl/huren/utrecht/1302111/van-sijpesteijnkade/,,,,,,,,,,,,,,,,Hoog-Catharijne NS en Jaarbeurs,950,,43,2.0,1.0,0.0,,False,,,False,,
