address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size,Rental agreement,Deposit,Income requirement,Maximum number of residents,Duration
Hickorylaan 92,3545 CT,1181,6500.0,81.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814566-hickorylaan-92/,,,,,,
Marshalllaan 335,3527 TJ,1395,4500.0,78.0,3.0,2.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88266293-marshalllaan-335/,,,,,,
Hickorylaan 348,3545 CT,1181,6500.0,81.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814665-hickorylaan-348/,,,,,,
Twellosebeeklaan 315,3521 DR,1070,,49.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989629-twellosebeeklaan-315/,,,,,,
Hickorylaan 108,3545 CT,1264,6500.0,98.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813337-hickorylaan-108/,,,,,,
Marshalllaan 364,3527 TW,1450,4500.0,78.0,3.0,2.0,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-88332234-marshalllaan-364/,,,,,,
Weg tot de Wetenschap 15 C,3584 AC,1650,,68.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88333935-weg-tot-de-wetenschap-15-c/,,,,,,
Hickorylaan 188,3545 CT,1264,6500.0,98.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813342-hickorylaan-188/,,,,,,
Grifthoek 104,3514 JJ,1360,5000.0,60.0,1.0,1.0,2.0,False,False,B,https://www.funda.nl/huur/utrecht/appartement-42970364-grifthoek-104/,,,,,,
Hickorylaan 340,3545 CT,1111,6500.0,78.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813334-hickorylaan-340/,,,,,,
Hickorylaan 264,3545 CT,1169,6500.0,82.0,3.0,2.0,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814576-hickorylaan-264/,,,,,,
Wisselstraat 64 *,3551 WG,1450,,48.0,1.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42977670-wisselstraat-64/,,,,,,
Grifthoek 118,3514 JJ,1569,5500.0,80.0,3.0,2.0,2.0,True,False,C,https://www.funda.nl/huur/utrecht/appartement-42990920-grifthoek-118/,,,,,,
Wisselstraat 78,3551 WG,1600,,47.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88313747-wisselstraat-78/,,,,,,
Monnetlaan 83 A,3527 GN,1350,4500.0,57.0,3.0,2.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88320624-monnetlaan-83-a/,,,,,,
Twellosebeeklaan 111,3521 DR,1500,,81.0,3.0,2.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42837940-twellosebeeklaan-111/,,,,,,
Rubicondreef 198,3561 JH,1450,6300.0,80.0,4.0,3.0,,False,False,F,https://www.funda.nl/huur/utrecht/appartement-88335389-rubicondreef-198/,,,,,,
Faustdreef 135,3561 LD,1450,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88275024-faustdreef-135/,,,,,,
Kromme Nieuwegracht 60 2,3512 HL,1650,,60.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88348428-kromme-nieuwegracht-60-2/,,,,,,
2e Atjehstraat 55,3531 SR,1495,,60.0,2.0,1.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42994590-2e-atjehstraat-55/,,,,,,
Nieuwegracht 76 bg,3512 LV,1350,,45.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88356669-nieuwegracht-76-bg/,,,,,,
Herenstraat 6 N,3512 KC,1600,,58.0,3.0,1.0,2.0,False,False,Niet verplicht,https://www.funda.nl/huur/utrecht/appartement-42996612-herenstraat-6-n/,,,,,,
CAB-rondom 129,3534 BJ,1595,,110.0,3.0,2.0,3.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992027-cab-rondom-129/,,,,,,
Faustdreef 107,3561 LC,1395,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88231824-faustdreef-107/,,,,,,
Hickorylaan 96,3545 CT,1181,6500.0,81.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814564-hickorylaan-96/,,,,,,
Nieuwegracht 26 B,3512 LS,1300,,44.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-87771771-nieuwegracht-26-b/,,,,,,
Eykmanlaan 411,3571 JR,1200,14000.0,94.0,4.0,3.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42897483-eykmanlaan-411/,,,,,,
Londenstraat 126,3541 CB,1600,,67.0,3.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-88290983-londenstraat-126/,,,,,,
Van Sijpesteijnkade 17 G,3521 AH,950,,43.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42886549-van-sijpesteijnkade-17-g/,,,,,,
Van Hoornekade 135,3554 AT,1100,,90.0,4.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42905507-van-hoornekade-135/,,,,,,
Voorsterbeeklaan,3521 DE,100,,,,,,False,False,,https://www.funda.nl/huur/utrecht/parkeergelegenheid-88339577-voorsterbeeklaan/,,,,,,
Wilde rucolavliet 41,3545 CL,1235,,81.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42983233-wilde-rucolavliet-41/,,,,,,
Hickorylaan 100,3545 CT,1184,6500.0,83.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814464-hickorylaan-100/,,,,,,
Reykjavikstraat 568,3543 KB,968,3000.0,48.0,1.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42897370-reykjavikstraat-568/,,,,,,
Potterstraat 4 A,3512 TA,1650,,73.0,2.0,1.0,,False,True,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88200965-potterstraat-4-a/,,,,,,
Kanaalweg 95 17,3533 HH,1095,,38.0,2.0,1.0,,False,False,A++,https://www.funda.nl/huur/utrecht/appartement-88338739-kanaalweg-95-17/,,,,,,
Reyer Anslostraat 143 P,3522 DJ,165,,,,,,False,False,,https://www.funda.nl/huur/utrecht/parkeergelegenheid-88950812-reyer-anslostraat-143-p/,,,,,,
Auriollaan 12,3527 EV,1450,4500.0,76.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88335360-auriollaan-12/,,,,,,
Pieterskerkhof 23 E,3512 JS,1495,10000.0,42.0,2.0,1.0,2.0,False,False,A+++,https://www.funda.nl/huur/utrecht/appartement-88357725-pieterskerkhof-23-e/,,,,,,
Tannhäuserdreef 136,3561 HK,1450,6300.0,80.0,4.0,3.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88169457-tannhauserdreef-136/,,,,,,
CAB-rondom 157,3534 BJ,927,,74.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992963-cab-rondom-157/,,,,,,
Faustdreef 473,3561 LR,1395,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88145062-faustdreef-473/,,,,,,
Twellosebeeklaan 281,3521 DR,1500,,80.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989618-twellosebeeklaan-281/,,,,,,
Hickorylaan 386,3545 CT,1322,6500.0,104.0,3.0,2.0,2.0,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42813346-hickorylaan-386/,,,,,,
Linnaeusstraat 30 bis,3553 CE,1075,,38.0,1.0,,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88325786-linnaeusstraat-30-bis/,,,,,,
Moreelsehoek 268,3511 EZ,1040,8000.0,50.0,1.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42694462-moreelsehoek-268/,,,,,,
Twellosebeeklaan 139,3521 DR,1040,,46.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989627-twellosebeeklaan-139/,,,,,,
CAB-rondom 9,3534 BJ,927,,74.0,2.0,,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42991940-cab-rondom-9/,,,,,,
Plesmanlaan 50 1,3555 AP,1350,,61.0,2.0,1.0,2.0,True,False,G,https://www.funda.nl/huur/utrecht/appartement-42974406-plesmanlaan-50-1/,,,,,,
Visschersplein 178,3511 LX,1495,,70.0,2.0,1.0,,False,False,Niet verplicht,https://www.funda.nl/huur/utrecht/appartement-88337904-visschersplein-178/,,,,,,
