,address,postcode,Huurprijs,Waarborgsom,Huurovereenkomst,Aangeboden sinds,Status,Aanvaarding,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Gebruiksoppervlakten,Wonen,Overige inpandige ruimte,Gebouwgebonden buitenruimte,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Voorlopig energielabel,Isolatie,Verwarming,Warm water,Ligging,Soort garage,Soort parkeergelegenheid,url,Specifiek,Externe bergruimte,Energielabel,Schuur/berging,Inschrijving KvK,Jaarlijkse vergadering,Periodieke bijdrage,Reservefonds aanwezig,Onderhoudsplan,Opstalverzekering,Balkon/dakterras,Tuin,Oorspronkelijke huurprijs,Cv-ketel,Soort woonhuis,Achtertuin,Ligging tuin,Oppervlakte,Capaciteit,Bouwperiode,Patio/atrium,Keurmerken,Zonneterras,Perceel,rental_price,service_costs,living_area,rooms,bedrooms,badkamer,toilet,bathrooms,energielabel,Energierating,balcony,garden,garden_size
94,Pieterskerkhof 23 L,3512 JS,"€ 1.750 per maand (exclusief servicekosten à € 100,00 /mnd)",€ 3.500 eenmalig,Onbepaalde tijd,21 oktober 2022,Beschikbaar,Beschikbaar per 1-11-2022,Benedenwoning (appartement),Bestaande bouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,63 m²,,,190 m³,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,Begane grond,"Mechanische ventilatie, TV kabel en zonnepanelen",,"Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Stadsverwarming,Centrale voorziening en stadsverwarming,In centrum,,Betaald parkeren,https://www.funda.nl/huur/utrecht/appartement-88357733-pieterskerkhof-23-l/,Gestoffeerd en monument,5 m²,A+++,Box,,,,,,,,,,,,,,,,,,,,,1750,10000,63,2,1,1 badkamer , 1 apart toilet,2.0,A+++,,False,False,
95,CAB-rondom 149,3534 BJ,€ 927 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2023,Plat dak bedekt met bitumineuze dakbedekking,,74 m²,2 m²,11 m²,192 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,5e woonlaag,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42992399-cab-rondom-149/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,,927,,74,3,2,1 badkamer , 1 apart toilet,2.0,A,,True,False,
96,Camposdreef 16,3563 XM,€ 1.050 per maand (servicekosten onbekend),€ 1.145 eenmalig,Onbepaalde tijd,10 oktober 2022,Onder optie,Beschikbaar per 1-12-2022,Portiekflat (appartement),Bestaande bouw,2018,,,66 m²,,,190 m³,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,1e woonlaag,,,"Dakisolatie, driedubbel glas, eco-bouw, muurisolatie, vloerisolatie en volledig geïsoleerd",Gehele vloerverwarming en warmtepomp,,"Aan park, aan rustige weg, in woonwijk, open ligging en vrij uitzicht",,,https://www.funda.nl/huur/utrecht/appartement-42988118-camposdreef-16/,,6 m²,A++,,Nee,Nee,Nee,Nee,Nee,Nee,Balkon aanwezig,Zonneterras,,,,,,,,,,,,,1050,,66,2,1,1 badkamer , 1 apart toilet,2.0,A++,,True,True,
97,Carel Willinkstraat 43,3544 MA,€ 1.650 per maand (geen servicekosten),€ 3.300 eenmalig,Tijdelijke verhuur,10 oktober 2022,Beschikbaar,Beschikbaar per 15-11-2022,,Bestaande bouw,2005,,,80 m²,,16 m²,298 m³,3 kamers (2 slaapkamers),1 apart toilet,,3 woonlagen,,Elektra en verwarming,,Volledig geïsoleerd,Stadsverwarming,Stadsverwarming,In woonwijk,Parkeerplaats,Op eigen terrein en openbaar parkeren,https://www.funda.nl/huur/utrecht/huis-88343683-carel-willinkstraat-43/,,,A,Inpandig,,,,,,,,Zonneterras,,,"Eengezinswoning, tussenwoning",,Gelegen op het zuidwesten,,,,,,"16 m² (3,2 meter diep en 5 meter breed)",,1650,,80,3,2,1 apart toilet,,,A,,False,True,
98,Hickorylaan 76,3545 CT,"€ 1.329 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Maisonnette (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,108 m²,5 m²,4 m²,281 m³,4 kamers (2 slaapkamers),1 apart toilet,,2 woonlagen,,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814468-hickorylaan-76/,,,,,,,,,,,,Zonneterras,,,,,,,,,,,,,1329,6500,108,4,2,1 apart toilet,,,A,,False,True,
99,Hickorylaan 154,3545 CT,"€ 1.085 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,73 m²,5 m²,7 m²,189 m³,3 kamers (2 slaapkamers),,,1 woonlaag,3e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814459-hickorylaan-154/,,,,,,,,,,,,,,,,,,,,,,,,,1085,6500,73,3,2,,,,A,,False,False,
100,Van Weerden Poelmanlaan 2,3527 KN,€ 1.350 per maand (servicekosten onbekend),€ 1.405 eenmalig,Onbepaalde tijd,3 weken,Beschikbaar,In overleg,Bovenwoning,Bestaande bouw,1968,,,92 m²,5 m²,5 m²,257 m³,3 kamers (2 slaapkamers),,,1 woonlaag,,Lift,,,Blokverwarming,Elektrische boiler (huur),,Parkeerplaats,Betaald parkeren,https://www.funda.nl/huur/utrecht/appartement-88331638-van-weerden-poelmanlaan-2/,Gestoffeerd,5 m²,G,,,,,,,,,,,,,,,,,,,,,,1350,,92,3,2,,,,G,,False,False,
101,Burgemeester Reigerstraat 2 B,3581 KR,€ 1.425 per maand (geen servicekosten),€ 1.425 eenmalig,Onbepaalde tijd,21 oktober 2022,Verhuurd onder voorbehoud,Beschikbaar per 1-11-2022,Portiekflat (appartement),Bestaande bouw,2003,Plat dak bedekt met bitumineuze dakbedekking,,56 m²,,5 m²,190 m³,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche en toilet,1 woonlaag,2e woonlaag,TV kabel,G,Dubbel glas,Cv-ketel,Cv-ketel,In centrum,,Betaald parkeren en parkeervergunningen,https://www.funda.nl/huur/utrecht/appartement-42987983-burgemeester-reigerstraat-2-b/,Gestoffeerd,8 m²,,,,,,,,,,,,Eigendom,,,,,,,,,,,1425,,56,2,1,1 badkamer , 1 apart toilet,2.0,G,,False,False,
102,Hickorylaan 120,3545 CT,"€ 1.274 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,98 m²,3 m²,11 m²,254 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,2e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42813354-hickorylaan-120/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,,1274,6500,98,3,2,1 badkamer , 1 apart toilet,2.0,A,,True,False,
103,Hickorylaan 418,3545 CT,"€ 1.105 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,73 m²,5 m²,7 m²,189 m³,3 kamers (2 slaapkamers),,,1 woonlaag,4e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814458-hickorylaan-418/,,,,,,,,,,,,,,,,,,,,,,,,,1105,6500,73,3,2,,,,A,,False,False,
