address,postcode,Huurprijs,Waarborgsom,Huurovereenkomst,Aangeboden sinds,Status,Aanvaarding,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Gebruiksoppervlakten,Wonen,Overige inpandige ruimte,Gebouwgebonden buitenruimte,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Voorlopig energielabel,Isolatie,Verwarming,Warm water,Ligging,Soort garage,Soort parkeergelegenheid,url,Specifiek,Externe bergruimte,Energielabel,Schuur/berging,Inschrijving KvK,Jaarlijkse vergadering,Periodieke bijdrage,Reservefonds aanwezig,Onderhoudsplan,Opstalverzekering,Balkon/dakterras,Tuin,Oorspronkelijke huurprijs,Cv-ketel,Soort woonhuis,Achtertuin,Ligging tuin,Oppervlakte,Capaciteit,Bouwperiode,Patio/atrium,Keurmerken,Zonneterras,Perceel
Twellosebeeklaan 237,3521 DR Utrecht,€ 1.500 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,80 m²,,6 m²,209 m³,3 kamers (2 slaapkamers),,,5 woonlagen,3e woonlaag,,A,,,,,Parkeerplaats,,https://www.funda.nl/huur/utrecht/appartement-42989623-twellosebeeklaan-237/,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
Hickorylaan 92,3545 CT Utrecht,"€ 1.181 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,81 m²,4 m²,7 m²,210 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,2e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814566-hickorylaan-92/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Marshalllaan 335,3527 TJ Utrecht,"€ 1.395 per maand (exclusief servicekosten à € 45,00 /mnd)",€ 1.440 eenmalig,Onbepaalde tijd,2 maanden,Verhuurd onder voorbehoud,Per direct beschikbaar,Bovenwoning (appartement),Bestaande bouw,1960,,,78 m²,,,203 m³,3 kamers (2 slaapkamers),,,1 woonlaag,3e woonlaag,,E,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88266293-marshalllaan-335/,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
Hickorylaan 348,3545 CT Utrecht,"€ 1.181 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,81 m²,4 m²,7 m²,210 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,3e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814665-hickorylaan-348/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Twellosebeeklaan 315,3521 DR Utrecht,€ 1.070 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,49 m²,,4 m²,128 m³,2 kamers (1 slaapkamer),,,5 woonlagen,5e woonlaag,,A,,,,,Parkeerplaats,,https://www.funda.nl/huur/utrecht/appartement-42989629-twellosebeeklaan-315/,,1 m²,,,Nee,Nee,Nee,Nee,Nee,Nee,Balkon aanwezig,,,,,,,,,,,,,
Hickorylaan 108,3545 CT Utrecht,"€ 1.264 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,98 m²,4 m²,40 m²,254 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,2e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42813337-hickorylaan-108/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Marshalllaan 364,3527 TW Utrecht,"€ 1.450 per maand (exclusief servicekosten à € 45,00 /mnd)",€ 1.495 eenmalig,Onbepaalde tijd,3 weken,Verhuurd onder voorbehoud,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1960,,,78 m²,,,203 m³,3 kamers (2 slaapkamers),,,1 woonlaag,3e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88332234-marshalllaan-364/,,,"C
            1,43",,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
Weg tot de Wetenschap 15 C,3584 AC Utrecht,€ 1.650 per maand (geen servicekosten),€ 3.300 eenmalig,,2 weken,,,Portiekflat (appartement),Bestaande bouw,2016,,,,,,315 m³,2 kamers (1 slaapkamer),,,,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-88333935-weg-tot-de-wetenschap-15-c/,,,Niet beschikbaar,,,,,,,,,,,,,,,68 m² wonen,,,,,,
Hickorylaan 188,3545 CT Utrecht,"€ 1.264 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,98 m²,4 m²,17 m²,254 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,4e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42813342-hickorylaan-188/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Grifthoek 104,3514 JJ Utrecht,"€ 1.360 per maand (exclusief servicekosten à € 50,00 /mnd)",€ 2.720 eenmalig,Onbepaalde tijd,2 weken,Beschikbaar,Per direct beschikbaar,Portiekflat (appartement),Bestaande bouw,,,,60 m²,4 m²,,240 m³,1 kamer (1 slaapkamer),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",1 woonlaag,2e woonlaag,,,,Cv-ketel,Cv-ketel,,Parkeerplaats,,https://www.funda.nl/huur/utrecht/appartement-42970364-grifthoek-104/,,6 m²,B,,,,,,,,,,,"Combiketel, eigendom",,,,,,2001-2010,,,,
Hickorylaan 340,3545 CT Utrecht,"€ 1.111 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,78 m²,2 m²,7 m²,202 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,3e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42813334-hickorylaan-340/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Hickorylaan 264,3545 CT Utrecht,"€ 1.169 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,82 m²,3 m²,6 m²,213 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,1e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814576-hickorylaan-264/,,,,,,,,,,,,Zonneterras,,,,,,,,,,,,
Wisselstraat 64 *,3551 WG Utrecht,€ 1.450 per maand (geen servicekosten),€ 2.900 eenmalig,Onbepaalde tijd,13 oktober 2022,Onder optie,Per direct beschikbaar,Galerijflat (appartement),Bestaande bouw,2020,Plat dak bedekt met bitumineuze dakbedekking,,48 m²,,,165 m³,1 kamer (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,3e woonlaag,"Glasvezelkabel, lift, mechanische ventilatie en zonnecollectoren",,Volledig geïsoleerd,Warmte terugwininstallatie en warmtepomp,,In woonwijk,,Betaald parkeren en parkeervergunningen,https://www.funda.nl/huur/utrecht/appartement-42977670-wisselstraat-64/,,,A,,Ja,Ja,Ja,Ja,Ja,Ja,,,,,,,,,,,,,,
Grifthoek 118,3514 JJ Utrecht,"€ 1.569 per maand (exclusief servicekosten à € 55,00 /mnd)",€ 3.138 eenmalig,Onbepaalde tijd,19 oktober 2022,Beschikbaar,Per direct beschikbaar,Galerijflat (appartement),Bestaande bouw,,Plat dak,,80 m²,3 m²,5 m²,208 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",1 woonlaag,1e woonlaag,Glasvezelkabel en mechanische ventilatie,,Dubbel glas,Cv-ketel,Cv-ketel,Aan park en in centrum,Parkeerkelder,Parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42990920-grifthoek-118/,,5 m²,C,Box,,,,,,,Balkon aanwezig,,,,,,,,,2001-2010,,,,
Wisselstraat 78,3551 WG Utrecht,€ 1.600 per maand (geen servicekosten),€ 3.200 eenmalig,Tijdelijke verhuur,5 weken,Beschikbaar,Per direct beschikbaar,Bovenwoning,Bestaande bouw,Na 2020,,,47 m²,,5 m²,156 m³,2 kamers (1 slaapkamer),,,1 woonlaag,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-88313747-wisselstraat-78/,,,Niet beschikbaar,,,,,,,,,,,,,,,,,,,,,
Monnetlaan 83 A,3527 GN Utrecht,"€ 1.350 per maand (exclusief servicekosten à € 45,00 /mnd)",€ 1.395 eenmalig,Onbepaalde tijd,4 weken,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1960,,,57 m²,,,148 m³,3 kamers (2 slaapkamers),,,1 woonlaag,,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88320624-monnetlaan-83-a/,,,Niet beschikbaar,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
Twellosebeeklaan 111,3521 DR Utrecht,€ 1.500 per maand (geen servicekosten),Geen,Onbepaalde tijd,7 weken,Beschikbaar,Per direct beschikbaar,Galerijflat (appartement),Nieuwbouw,2021,,,81 m²,,,230 m³,3 kamers (2 slaapkamers),,,5 woonlagen,1e woonlaag,,,,,,,Parkeerkelder,,https://www.funda.nl/huur/utrecht/appartement-42837940-twellosebeeklaan-111/,,,Niet beschikbaar,,Nee,Nee,Nee,Nee,Nee,Nee,,,€ 1.250 per maand (geen servicekosten),,,,,,,,,,,
Rubicondreef 198,3561 JH Utrecht,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,2 weken,Onder optie,Beschikbaar per 1-12-2022,Bovenwoning (appartement),Bestaande bouw,1967,,,80 m²,,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,8e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88335389-rubicondreef-198/,,,"F
            2,58",,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
Faustdreef 135,3561 LD Utrecht,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,2 maanden,Beschikbaar,Beschikbaar per 1-12-2022,Bovenwoning (appartement),Bestaande bouw,1967,,,80 m²,,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,7e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88275024-faustdreef-135/,,,"E
            2,35",,Nee,Nee,Nee,Nee,Nee,Nee,,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,,,,,,,,
Kromme Nieuwegracht 60 2,3512 HL Utrecht,€ 1.650 per maand (geen servicekosten),€ 3.300 eenmalig,,13 oktober 2022,,,Bovenwoning (appartement),Bestaande bouw,1450,,,,,,150 m³,2 kamers (1 slaapkamer),,,,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-88348428-kromme-nieuwegracht-60-2/,,,Niet beschikbaar,,,,,,,,,,,,,,,60 m² wonen,,,,,,
2e Atjehstraat 55,3531 SR Utrecht,€ 1.495 per maand (geen servicekosten),€ 1.495 eenmalig,Onbepaalde tijd,Vandaag,Beschikbaar,Per direct beschikbaar,Benedenwoning (appartement),Bestaande bouw,,,,60 m²,,9 m²,173 m³,2 kamers (1 slaapkamer),,,1 woonlaag,Begane grond,TV kabel,G,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Gehele vloerverwarming,Cv-ketel,Aan rustige weg,,,https://www.funda.nl/huur/utrecht/appartement-42994590-2e-atjehstraat-55/,,,,,Ja,Nee,Nee,Nee,Nee,Ja,,Patio/atrium,,,,,Gelegen op het noordwesten,,,1906-1930,"9 m² (0,03 meter diep en 0,03 meter breed)",,,
Nieuwegracht 76 bg,3512 LV Utrecht,€ 1.350 per maand (geen servicekosten),€ 2.700 eenmalig,,20 oktober 2022,,,Benedenwoning (appartement),Bestaande bouw,1600,,,,,,100 m³,2 kamers (1 slaapkamer),,,,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-88356669-nieuwegracht-76-bg/,,,Niet beschikbaar,,,,,,,,,,,,,,,45 m² wonen,,,,,,
Herenstraat 6 N,3512 KC Utrecht,€ 1.600 per maand (geen servicekosten),€ 1.950 eenmalig,Onbepaalde tijd,14 oktober 2022,Beschikbaar,Beschikbaar per 1-12-2022,Maisonnette (appartement),Bestaande bouw,Voor 1906,Zadeldak bedekt met leisteen,,58 m²,,,153 m³,3 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Ligbad en douche,2 woonlagen,1e woonlaag,"Mechanische ventilatie, natuurlijke ventilatie en TV kabel",,Volledig geïsoleerd,Stadsverwarming,Centrale voorziening,In centrum,,Betaald parkeren,https://www.funda.nl/huur/utrecht/appartement-42996612-herenstraat-6-n/,Gemeubileerd en monument,,Niet verplicht,,,,,,,,,,,,,,,,,,,,,
CAB-rondom 129,3534 BJ Utrecht,€ 1.595 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2023,Plat dak bedekt met bitumineuze dakbedekking,,110 m²,2 m²,42 m²,286 m³,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,,1 woonlaag,4e woonlaag,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42992027-cab-rondom-129/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Faustdreef 107,3561 LC Utrecht,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.458 eenmalig,Onbepaalde tijd,3 maanden,Onder optie,Beschikbaar per 31-10-2022,Bovenwoning (appartement),Bestaande bouw,1967,,,80 m²,,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,6e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88231824-faustdreef-107/,,,"E
            2,35",,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
Hickorylaan 96,3545 CT Utrecht,"€ 1.181 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,81 m²,4 m²,7 m²,210 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,2e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814564-hickorylaan-96/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Nieuwegracht 26 B,3512 LS Utrecht,€ 1.300 per maand (geen servicekosten),€ 1.300 eenmalig,,6+ maanden,,,Tussenverdieping (appartement),Bestaande bouw,1967,,,,,,112 m³,2 kamers (1 slaapkamer),,,,,,A,,,,,,,https://www.funda.nl/huur/utrecht/appartement-87771771-nieuwegracht-26-b/,,,,,,,,,,,,,,,,,,44 m² wonen,,,,,,
Eykmanlaan 411,3571 JR Utrecht,"€ 1.200 per maand (exclusief servicekosten à € 140,00 /mnd)",Geen,Onbepaalde tijd,3 maanden,Beschikbaar,Per direct beschikbaar,Bovenwoning,Bestaande bouw,1960,,,94 m²,,,244 m³,4 kamers (3 slaapkamers),,,1 woonlaag,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42897483-eykmanlaan-411/,,,"G
            3,53",,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
Londenstraat 126,3541 CB Utrecht,€ 1.600 per maand (geen servicekosten),€ 3.200 eenmalig,Onbepaalde tijd,7 weken,Verhuurd onder voorbehoud,Beschikbaar per 1-11-2022,Galerijflat (appartement),Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,,67 m²,,3 m²,265 m³,3 kamers (1 slaapkamer),,,1 woonlaag,5e woonlaag,Elektra,,,Stadsverwarming,,In centrum,Parkeerkelder,Betaald parkeren,https://www.funda.nl/huur/utrecht/appartement-88290983-londenstraat-126/,,3 m²,A,Inpandig,Ja,Ja,Ja,Ja,Ja,Ja,,,,,,,,,,2011-2020,,"Algemene Woningkeur, brandveiligheid en Politiekeurmerk",,
Van Sijpesteijnkade 17 G,3521 AH Utrecht,€ 950 per maand (geen servicekosten),Geen,Onbepaalde tijd,3 maanden,Beschikbaar,Per direct beschikbaar,Galerijflat,Nieuwbouw,2022,,,43 m²,,,112 m³,2 kamers (1 slaapkamer),1 badkamer,,14 woonlagen,4e woonlaag,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42886549-van-sijpesteijnkade-17-g/,,,Niet beschikbaar,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
Van Hoornekade 135,3554 AT Utrecht,€ 1.100 per maand (geen servicekosten),€ 1.100 eenmalig,Onbepaalde tijd,21 oktober 2022,Beschikbaar,In overleg,Bovenwoning,Bestaande bouw,1931,,,90 m²,4 m²,,225 m³,4 kamers (2 slaapkamers),,,2 woonlagen,,,G,,,,,,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42905507-van-hoornekade-135/,,4 m²,,,,,,,,,,,,,,,,,,,,,,
Voorsterbeeklaan,3521 DE Utrecht,€ 100 per maand (geen servicekosten),€ 200 eenmalig,Onbepaalde tijd,17 oktober 2022,Beschikbaar,Per direct beschikbaar,,Bestaande bouw,,,,,,,,,,,,,,,,,,,,Parkeerkelder,https://www.funda.nl/huur/utrecht/parkeergelegenheid-88339577-voorsterbeeklaan/,,,,,,,,,,,,,,,,,,,1,,,,,
Wilde rucolavliet 41,3545 CL Utrecht,€ 1.235 per maand (servicekosten onbekend),€ 3.837 eenmalig,Onbepaalde tijd,14 oktober 2022,Beschikbaar,Beschikbaar per 1-12-2022,Galerijflat (appartement),Bestaande bouw,2020,Plat dak bedekt met bitumineuze dakbedekking,,81 m²,,8 m²,211 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Elektra,,Dubbel glas en volledig geïsoleerd,Stadsverwarming en gedeeltelijke vloerverwarming,Stadsverwarming,Aan rustige weg en in woonwijk,Parkeerplaats,Op eigen terrein,https://www.funda.nl/huur/utrecht/appartement-42983233-wilde-rucolavliet-41/,,5 m²,A,Box,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Hickorylaan 100,3545 CT Utrecht,"€ 1.184 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,83 m²,8 m²,10 m²,215 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,2e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814464-hickorylaan-100/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Reykjavikstraat 568,3543 KB Utrecht,"€ 968 per maand (exclusief servicekosten à € 30,00 /mnd)",Geen,Onbepaalde tijd,3 maanden,Verhuurd onder voorbehoud,Per direct beschikbaar,Portiekflat (appartement),Bestaande bouw,2018,,,48 m²,,,144 m³,1 kamer (1 slaapkamer),1 badkamer,Douche en toilet,6 woonlagen,5e woonlaag,,,Volledig geïsoleerd,Stadsverwarming,,Aan drukke weg en in woonwijk,,Betaald parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42897370-reykjavikstraat-568/,,,A,,Nee,Nee,Nee,Nee,Nee,Nee,Balkon aanwezig,,,,,,,,,,,,,
Potterstraat 4 A,3512 TA Utrecht,€ 1.650 per maand (geen servicekosten),€ 1.650 eenmalig,Onbepaalde tijd,6 weken,Onder optie,Per direct beschikbaar,Bovenwoning (appartement met open portiek),Bestaande bouw,1900,Plat dak bedekt met bitumineuze dakbedekking,,73 m²,,6 m²,240 m³,2 kamers (1 slaapkamer),1 apart toilet,,1 woonlaag,1e woonlaag,TV kabel,,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Stadsverwarming,Centrale voorziening,"Aan drukke weg, in centrum, in woonwijk en vrij uitzicht",,Betaald parkeren en parkeervergunningen,https://www.funda.nl/huur/utrecht/appartement-88200965-potterstraat-4-a/,Gestoffeerd,,Niet beschikbaar,,,,,,,,,Zonneterras,,,,,,,,,,,,
Kanaalweg 95 17,3533 HH Utrecht,€ 1.095 per maand (servicekosten onbekend),€ 2.190 eenmalig,,2 weken,,,Bovenwoning (appartement),Bestaande bouw,2017,,,,,,100 m³,2 kamers (1 slaapkamer),,,,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-88338739-kanaalweg-95-17/,,,A++,,,,,,,,,,,,,,,38 m² wonen,,,,,,
Reyer Anslostraat 143 P,3522 DJ Utrecht,€ 165 per maand (geen servicekosten),€ 200 eenmalig,Onbepaalde tijd,6+ maanden,Beschikbaar,Per direct beschikbaar,,Nieuwbouw,,,,,,,,,,,,,,,,,,,,Parkeerplaats,https://www.funda.nl/huur/utrecht/parkeergelegenheid-88950812-reyer-anslostraat-143-p/,,,,,,,,,,,,,€ 180 per maand (geen servicekosten),,,,,,1,,,,,
Auriollaan 12,3527 EV Utrecht,"€ 1.450 per maand (exclusief servicekosten à € 45,00 /mnd)",€ 1.495 eenmalig,Onbepaalde tijd,2 weken,Beschikbaar,Beschikbaar per 1-12-2022,Bovenwoning (appartement),Bestaande bouw,1960,,,76 m²,,,198 m³,3 kamers (2 slaapkamers),,,1 woonlaag,3e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88335360-auriollaan-12/,,,"G
            3,13",,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
Pieterskerkhof 23 E,3512 JS Utrecht,"€ 1.495 per maand (exclusief servicekosten à € 100,00 /mnd)",€ 2.990 eenmalig,Onbepaalde tijd,21 oktober 2022,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,42 m²,,,145 m³,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,2e woonlaag,Elektra,,"Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Stadsverwarming,Stadsverwarming,In centrum,,Betaald parkeren,https://www.funda.nl/huur/utrecht/appartement-88357725-pieterskerkhof-23-e/,Gestoffeerd en monumentaal pand,5 m²,A+++,Box,,,,,,,,,,,,,,,,,,,,
Tannhäuserdreef 136,3561 HK Utrecht,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,5 maanden,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1965,,,80 m²,,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,5e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88169457-tannhauserdreef-136/,,,"D
            1,89",,Nee,Nee,Nee,Nee,Nee,Nee,,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,,,,,,,,
CAB-rondom 157,3534 BJ Utrecht,€ 927 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2023,Plat dak bedekt met bitumineuze dakbedekking,,74 m²,2 m²,11 m²,192 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,5e woonlaag,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42992963-cab-rondom-157/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Faustdreef 473,3561 LR Utrecht,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.458 eenmalig,Onbepaalde tijd,5 maanden,Beschikbaar,Beschikbaar per direct beschikbaar,Bovenwoning (appartement),Bestaande bouw,1967,,,80 m²,,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,9e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88145062-faustdreef-473/,,,"E
            2,06",,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
Twellosebeeklaan 281,3521 DR Utrecht,€ 1.500 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,80 m²,,6 m²,209 m³,3 kamers (2 slaapkamers),,,5 woonlagen,4e woonlaag,,A,,,,,Parkeerplaats,,https://www.funda.nl/huur/utrecht/appartement-42989618-twellosebeeklaan-281/,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
