,address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size,Rental agreement,Deposit,Income requirement,Maximum number of residents,Duration,postcode_beginning,price_pm,energie_class
36,Marshalllaan 364,3527 TW,1450,4500.0,78.0,3.0,2.0,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-88332234-marshalllaan-364/,,,,,,,3527,18.58974358974359,6.0
37,Weg tot de Wetenschap 15 C,3584 AC,1650,,68.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88333935-weg-tot-de-wetenschap-15-c/,,,,,,,3584,24.264705882352942,
38,Hickorylaan 188,3545 CT,1264,6500.0,98.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813342-hickorylaan-188/,,,,,,,3545,12.89795918367347,4.0
39,Grifthoek 104,3514 JJ,1360,5000.0,60.0,1.0,1.0,2.0,False,False,B,https://www.funda.nl/huur/utrecht/appartement-42970364-grifthoek-104/,,,,,,,3514,22.666666666666668,5.0
40,Hickorylaan 340,3545 CT,1111,6500.0,78.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813334-hickorylaan-340/,,,,,,,3545,14.243589743589743,4.0
41,Hickorylaan 264,3545 CT,1169,6500.0,82.0,3.0,2.0,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814576-hickorylaan-264/,,,,,,,3545,14.25609756097561,4.0
42,Wisselstraat 64 *,3551 WG,1450,,48.0,1.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42977670-wisselstraat-64/,,,,,,,3551,30.208333333333332,4.0
43,Grifthoek 118,3514 JJ,1569,5500.0,80.0,3.0,2.0,2.0,True,False,C,https://www.funda.nl/huur/utrecht/appartement-42990920-grifthoek-118/,,,,,,,3514,19.6125,6.0
44,Wisselstraat 78,3551 WG,1600,,47.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88313747-wisselstraat-78/,,,,,,,3551,34.04255319148936,
45,Monnetlaan 83 A,3527 GN,1350,4500.0,57.0,3.0,2.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88320624-monnetlaan-83-a/,,,,,,,3527,23.68421052631579,
46,Twellosebeeklaan 111,3521 DR,1500,,81.0,3.0,2.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42837940-twellosebeeklaan-111/,,,,,,,3521,18.51851851851852,
47,Rubicondreef 198,3561 JH,1450,6300.0,80.0,4.0,3.0,,False,False,F,https://www.funda.nl/huur/utrecht/appartement-88335389-rubicondreef-198/,,,,,,,3561,18.125,9.0
48,Faustdreef 135,3561 LD,1450,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88275024-faustdreef-135/,,,,,,,3561,18.125,8.0
49,Kromme Nieuwegracht 60 2,3512 HL,1650,,60.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88348428-kromme-nieuwegracht-60-2/,,,,,,,3512,27.5,
50,2e Atjehstraat 55,3531 SR,1495,,60.0,2.0,1.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42994590-2e-atjehstraat-55/,,,,,,,3531,24.916666666666668,10.0
51,Nieuwegracht 76 bg,3512 LV,1350,,45.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88356669-nieuwegracht-76-bg/,,,,,,,3512,30.0,
52,Herenstraat 6 N,3512 KC,1600,,58.0,3.0,1.0,2.0,False,False,Niet verplicht,https://www.funda.nl/huur/utrecht/appartement-42996612-herenstraat-6-n/,,,,,,,3512,27.586206896551722,
53,CAB-rondom 129,3534 BJ,1595,,110.0,3.0,2.0,3.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992027-cab-rondom-129/,,,,,,,3534,14.5,4.0
54,Faustdreef 107,3561 LC,1395,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88231824-faustdreef-107/,,,,,,,3561,17.4375,8.0
55,Hickorylaan 96,3545 CT,1181,6500.0,81.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814564-hickorylaan-96/,,,,,,,3545,14.580246913580247,4.0
56,Nieuwegracht 26 B,3512 LS,1300,,44.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-87771771-nieuwegracht-26-b/,,,,,,,3512,29.545454545454547,4.0
57,Eykmanlaan 411,3571 JR,1200,14000.0,94.0,4.0,3.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42897483-eykmanlaan-411/,,,,,,,3571,12.76595744680851,10.0
58,Londenstraat 126,3541 CB,1600,,67.0,3.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-88290983-londenstraat-126/,,,,,,,3541,23.880597014925375,4.0
59,Van Sijpesteijnkade 17 G,3521 AH,950,,43.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42886549-van-sijpesteijnkade-17-g/,,,,,,,3521,22.093023255813954,
60,Van Hoornekade 135,3554 AT,1100,,90.0,4.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42905507-van-hoornekade-135/,,,,,,,3554,12.222222222222221,10.0
61,Voorsterbeeklaan,3521 DE,100,,,,,,False,False,,https://www.funda.nl/huur/utrecht/parkeergelegenheid-88339577-voorsterbeeklaan/,,,,,,,3521,,
62,Wilde rucolavliet 41,3545 CL,1235,,81.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42983233-wilde-rucolavliet-41/,,,,,,,3545,15.246913580246913,4.0
63,Hickorylaan 100,3545 CT,1184,6500.0,83.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814464-hickorylaan-100/,,,,,,,3545,14.265060240963855,4.0
64,Reykjavikstraat 568,3543 KB,968,3000.0,48.0,1.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42897370-reykjavikstraat-568/,,,,,,,3543,20.166666666666668,4.0
65,Potterstraat 4 A,3512 TA,1650,,73.0,2.0,1.0,,False,True,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88200965-potterstraat-4-a/,,,,,,,3512,22.602739726027398,
66,Kanaalweg 95 17,3533 HH,1095,,38.0,2.0,1.0,,False,False,A++,https://www.funda.nl/huur/utrecht/appartement-88338739-kanaalweg-95-17/,,,,,,,3533,28.81578947368421,2.0
67,Reyer Anslostraat 143 P,3522 DJ,165,,,,,,False,False,,https://www.funda.nl/huur/utrecht/parkeergelegenheid-88950812-reyer-anslostraat-143-p/,,,,,,,3522,,
68,Auriollaan 12,3527 EV,1450,4500.0,76.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88335360-auriollaan-12/,,,,,,,3527,19.07894736842105,10.0
69,Pieterskerkhof 23 E,3512 JS,1495,10000.0,42.0,2.0,1.0,2.0,False,False,A+++,https://www.funda.nl/huur/utrecht/appartement-88357725-pieterskerkhof-23-e/,,,,,,,3512,35.595238095238095,1.0
70,Tannhäuserdreef 136,3561 HK,1450,6300.0,80.0,4.0,3.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88169457-tannhauserdreef-136/,,,,,,,3561,18.125,7.0
71,CAB-rondom 157,3534 BJ,927,,74.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992963-cab-rondom-157/,,,,,,,3534,12.527027027027026,4.0
72,Faustdreef 473,3561 LR,1395,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88145062-faustdreef-473/,,,,,,,3561,17.4375,8.0
73,Twellosebeeklaan 281,3521 DR,1500,,80.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989618-twellosebeeklaan-281/,,,,,,,3521,18.75,4.0
74,Hickorylaan 386,3545 CT,1322,6500.0,104.0,3.0,2.0,2.0,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42813346-hickorylaan-386/,,,,,,,3545,12.711538461538462,4.0
75,Linnaeusstraat 30 bis,3553 CE,1075,,38.0,1.0,,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88325786-linnaeusstraat-30-bis/,,,,,,,3553,28.289473684210527,
76,Moreelsehoek 268,3511 EZ,1040,8000.0,50.0,1.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42694462-moreelsehoek-268/,,,,,,,3511,20.8,
77,Twellosebeeklaan 139,3521 DR,1040,,46.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989627-twellosebeeklaan-139/,,,,,,,3521,22.608695652173914,4.0
78,CAB-rondom 9,3534 BJ,927,,74.0,2.0,,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42991940-cab-rondom-9/,,,,,,,3534,12.527027027027026,4.0
79,Plesmanlaan 50 1,3555 AP,1350,,61.0,2.0,1.0,2.0,True,False,G,https://www.funda.nl/huur/utrecht/appartement-42974406-plesmanlaan-50-1/,,,,,,,3555,22.131147540983605,10.0
80,Visschersplein 178,3511 LX,1495,,70.0,2.0,1.0,,False,False,Niet verplicht,https://www.funda.nl/huur/utrecht/appartement-88337904-visschersplein-178/,,,,,,,3511,21.357142857142858,
81,CAB-rondom 13,3534 BJ,934,,75.0,2.0,,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42991067-cab-rondom-13/,,,,,,,3534,12.453333333333333,4.0
82,Oud-Wulvenplantsoen 69,3523 XS,1524,4500.0,89.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42836273-oud-wulvenplantsoen-69/,,,,,,,3523,17.123595505617978,4.0
83,Twellosebeeklaan 159,3521 DR,950,,49.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989621-twellosebeeklaan-159/,,,,,,,3521,19.387755102040817,4.0
84,Marshalllaan 333,3527 TJ,725,4500.0,41.0,2.0,1.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88339649-marshalllaan-333/,,,,,,,3527,17.682926829268293,7.0
85,Faustdreef 475,3561 LR,1450,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88332148-faustdreef-475/,,,,,,,3561,18.125,8.0
86,Buys Ballotstraat 5 Bel,3572 ZN,1250,,54.0,3.0,1.0,,True,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42987734-buys-ballotstraat-5-bel/,,,,,,,3572,23.14814814814815,
87,Faustdreef 37,3561 LA,1450,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88231535-faustdreef-37/,,,,,,,3561,18.125,8.0
88,Twellosebeeklaan 149,3521 DR,1175,,53.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989610-twellosebeeklaan-149/,,,,,,,3521,22.169811320754718,4.0
89,Twellosebeeklaan 325,3521 DR,1510,,80.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989612-twellosebeeklaan-325/,,,,,,,3521,18.875,4.0
90,Euterpedreef 62,3561 CX,1300,,75.0,3.0,2.0,2.0,True,False,E,https://www.funda.nl/huur/utrecht/appartement-88354989-euterpedreef-62/,,,,,,,3561,17.333333333333332,8.0
91,Twellosebeeklaan 141,3521 DR,1525,,81.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989628-twellosebeeklaan-141/,,,,,,,3521,18.82716049382716,4.0
92,Twellosebeeklaan 295,3521 DR,1070,,50.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989626-twellosebeeklaan-295/,,,,,,,3521,21.4,4.0
93,Springweg 452,3511 VZ,1195,,45.0,1.0,,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-42899247-springweg-452/,,,,,,,3511,26.555555555555557,6.0
94,Pieterskerkhof 23 L,3512 JS,1750,10000.0,63.0,2.0,1.0,2.0,False,False,A+++,https://www.funda.nl/huur/utrecht/appartement-88357733-pieterskerkhof-23-l/,,,,,,,3512,27.77777777777778,1.0
95,CAB-rondom 149,3534 BJ,927,,74.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992399-cab-rondom-149/,,,,,,,3534,12.527027027027026,4.0
96,Camposdreef 16,3563 XM,1050,,66.0,2.0,1.0,2.0,True,True,A++,https://www.funda.nl/huur/utrecht/appartement-42988118-camposdreef-16/,,,,,,,3563,15.909090909090908,2.0
97,Carel Willinkstraat 43,3544 MA,1650,,80.0,3.0,2.0,,False,True,A,https://www.funda.nl/huur/utrecht/huis-88343683-carel-willinkstraat-43/,,,,,,,3544,20.625,4.0
98,Hickorylaan 76,3545 CT,1329,6500.0,108.0,4.0,2.0,,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814468-hickorylaan-76/,,,,,,,3545,12.305555555555555,4.0
99,Hickorylaan 154,3545 CT,1085,6500.0,73.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42814459-hickorylaan-154/,,,,,,,3545,14.863013698630137,4.0
100,Van Weerden Poelmanlaan 2,3527 KN,1350,,92.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88331638-van-weerden-poelmanlaan-2/,,,,,,,3527,14.673913043478262,10.0
101,Burgemeester Reigerstraat 2 B,3581 KR,1425,,56.0,2.0,1.0,2.0,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42987983-burgemeester-reigerstraat-2-b/,,,,,,,3581,25.446428571428573,10.0
102,Hickorylaan 120,3545 CT,1274,6500.0,98.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813354-hickorylaan-120/,,,,,,,3545,13.0,4.0
103,Hickorylaan 418,3545 CT,1105,6500.0,73.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42814458-hickorylaan-418/,,,,,,,3545,15.136986301369863,4.0
104,Pablo Picassostraat,3544 NX,1295,,88.0,3.0,2.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42964767-pablo-picassostraat/,,,,,,,3544,14.715909090909092,
105,Hickorylaan 268,3545 CT,1322,6500.0,104.0,3.0,2.0,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42813344-hickorylaan-268/,,,,,,,3545,12.711538461538462,4.0
106,CAB-rondom 151,3534 BJ,927,,74.0,2.0,1.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42991036-cab-rondom-151/,,,,,,,3534,12.527027027027026,4.0
107,Hickorylaan 300,3545 CT,1111,6500.0,78.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813339-hickorylaan-300/,,,,,,,3545,14.243589743589743,4.0
108,Prinses Beatrixplein 20,3523 VD,1500,5000.0,70.0,3.0,2.0,2.0,False,True,B,https://www.funda.nl/huur/utrecht/appartement-42987585-prinses-beatrixplein-20/,25.0,,,,,,3523,21.428571428571427,5.0
109,Twellosebeeklaan 183,3521 DR,950,,49.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989619-twellosebeeklaan-183/,,,,,,,3521,19.387755102040817,4.0
110,Hickorylaan 262,3545 CT,1111,6500.0,78.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814463-hickorylaan-262/,,,,,,,3545,14.243589743589743,4.0
111,Tannhäuserdreef 178,3561 HL,1450,6300.0,80.0,4.0,3.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88228346-tannhauserdreef-178/,,,,,,,3561,18.125,7.0
112,Nijenoord 315,3552 AS,1411,5500.0,97.0,4.0,3.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42817532-nijenoord-315/,,,,,,,3552,14.54639175257732,
113,Twellosebeeklaan 123,3521 DR,1040,,50.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989635-twellosebeeklaan-123/,,,,,,,3521,20.8,4.0
114,Twellosebeeklaan 143,3521 DR,1500,,81.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989616-twellosebeeklaan-143/,,,,,,,3521,18.51851851851852,4.0
115,Oudegracht 210 A,3511 NS,1595,,41.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88317865-oudegracht-210-a/,,,,,,,3511,38.90243902439025,
116,Tannhäuserdreef 176,3561 HL,1450,6300.0,80.0,4.0,3.0,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-88291925-tannhauserdreef-176/,,,,,,,3561,18.125,6.0
117,Kromme Nieuwegracht 11 C,3512 HC,1695,,100.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88347097-kromme-nieuwegracht-11-c/,,,,,,,3512,16.95,10.0
118,CAB-rondom 147,3534 BJ,927,,74.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992204-cab-rondom-147/,,,,,,,3534,12.527027027027026,4.0
119,Oudenoord 256,3513 EV,1146,3000.0,54.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42804258-oudenoord-256/,,,,,,,3513,21.22222222222222,4.0
120,Hickorylaan 180,3545 CT,1204,6500.0,83.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814466-hickorylaan-180/,,,,,,,3545,14.506024096385541,4.0
121,Moreelsehoek 396,3511 EZ,1073,8000.0,50.0,1.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42985440-moreelsehoek-396/,,,,,,,3511,21.46,
122,Marshalllaan 352 A,3527 TW,1325,4500.0,78.0,4.0,3.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88291897-marshalllaan-352-a/,,,,,,,3527,16.987179487179485,
123,Wulpstraat 55 *,3582 AW,1225,,30.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-88351938-wulpstraat-55/,,,,,,,3582,40.833333333333336,4.0
124,CAB-rondom 11,3534 BJ,934,,75.0,2.0,,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42991063-cab-rondom-11/,,,,,,,3534,12.453333333333333,4.0
125,Monnetlaan 81,3527 GN,1450,4500.0,76.0,3.0,2.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88327842-monnetlaan-81/,,,,,,,3527,19.07894736842105,8.0
126,Van Eysingalaan 187,3527 VE,1350,,70.0,3.0,2.0,2.0,True,False,E,https://www.funda.nl/huur/utrecht/appartement-42985046-van-eysingalaan-187/,,,,,,,3527,19.285714285714285,8.0
127,Faustdreef 437,3561 LP,1450,6300.0,80.0,4.0,3.0,,False,False,F,https://www.funda.nl/huur/utrecht/appartement-88276665-faustdreef-437/,,,,,,,3561,18.125,9.0
128,Marshalllaan 394,3527 TW,925,4500.0,41.0,2.0,1.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88262933-marshalllaan-394/,,,,,,,3527,22.5609756097561,7.0
129,Hickorylaan 302,3545 CT,1169,6500.0,82.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814578-hickorylaan-302/,,,,,,,3545,14.25609756097561,4.0
130,Hickorylaan 124,3545 CT,1050,6500.0,73.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42814457-hickorylaan-124/,,,,,,,3545,14.383561643835616,4.0
131,Auriollaan 32,3527 EV,1395,4500.0,76.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88169471-auriollaan-32/,,,,,,,3527,18.355263157894736,10.0
132,Marshalllaan 387,3527 TK,1450,4500.0,78.0,3.0,2.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88289616-marshalllaan-387/,,,,,,,3527,18.58974358974359,8.0
