,postcode_beginning,price_pm,living_area,bedrooms,rooms,energie_class,count
0,3511,29.212132258804818,49.02857142857143,1.0344827586206897,1.8235294117647058,D,35
1,3512,26.341374413290257,56.51020408163265,1.1956521739130435,2.1020408163265305,A,49
2,3513,24.962361712361712,53.333333333333336,1.0,1.6666666666666667,C,6
3,3514,25.865327765984443,63.77777777777778,1.3333333333333333,2.185185185185185,C,27
4,3515,22.0,75.0,3.0,8.0,,1
5,3521,20.55607123962184,60.92857142857143,1.3928571428571428,2.392857142857143,A,29
6,3522,35.0,20.0,1.0,2.0,,4
7,3523,17.794225136255225,92.33333333333333,2.6666666666666665,3.6666666666666665,C,3
8,3526,29.680715197956577,39.666666666666664,0.6666666666666666,1.6666666666666667,A,3
9,3527,19.05265115424488,71.73469387755102,1.9736842105263157,2.9591836734693877,D,49
10,3531,24.35634328358209,57.4,1.0,2.2,E,5
11,3532,45.27245095330201,33.90909090909091,0.875,1.6363636363636365,C,11
12,3533,28.81578947368421,38.0,1.0,2.0,A++,2
13,3534,12.760651499401499,78.0,1.6,2.5833333333333335,A,13
14,3541,22.490298507462686,48.5,0.75,2.0,A,6
15,3543,17.0,69.0,1.0,1.5,A,2
16,3544,18.428977272727273,81.0,1.75,3.0,A,12
17,3545,13.624440795144592,90.72413793103448,2.0,3.1379310344827585,A,29
18,3551,25.47898416762032,65.0,1.4545454545454546,3.1818181818181817,D,11
19,3552,23.82445690048783,61.5,1.4,2.1666666666666665,F,6
20,3553,26.217105263157897,43.5,1.0,1.25,,4
21,3554,14.732510288065845,87.0,2.0,3.6666666666666665,C,6
22,3555,22.131147540983605,61.0,1.0,2.0,G,1
23,3561,17.996843434343436,79.84848484848484,2.9444444444444446,3.9696969696969697,E,33
24,3562,18.206762749445677,68.5,2.0,3.0,,2
25,3563,15.909090909090908,66.0,1.0,2.0,A++,1
26,3564,14.875541125541126,86.0,2.5,3.5,C,4
27,3571,14.32415519399249,89.5,3.0,3.5,D,4
28,3572,21.396053681767967,72.92857142857143,1.5384615384615385,2.5714285714285716,D,14
29,3573,15.426848370927319,101.55555555555556,2.3333333333333335,3.3333333333333335,B,9
30,3581,26.681544939015122,53.642857142857146,1.0,1.9285714285714286,E,14
31,3582,22.214267054784298,66.9090909090909,1.2727272727272727,2.5454545454545454,C,12
32,3583,25.0,50.0,1.0,2.0,,2
33,3584,23.793449197860962,33.5,1.0,2.0,,4
