,Unnamed: 0,address,postcode,Huurprijs,Waarborgsom,Huurovereenkomst,Aangeboden sinds,Status,Aanvaarding,Soort appartement,Soort bouw,Bouwjaar,Specifiek,Gebruiksoppervlakten,Wonen,Gebouwgebonden buitenruimte,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Voorlopig energielabel,Isolatie,Verwarming,Warm water,Ligging,Balkon/dakterras,Soort parkeergelegenheid,url,Soort dak,Overige inpandige ruimte,Soort garage,Soort woonhuis,Perceel,Energielabel,Cv-ketel,Tuin,Achtertuin,Ligging tuin,Bouwperiode,Externe bergruimte,Schuur/berging,Inschrijving KvK,Jaarlijkse vergadering,Periodieke bijdrage,Reservefonds aanwezig,Onderhoudsplan,Opstalverzekering,Zonneterras,Oorspronkelijke huurprijs,Capaciteit,Keurmerken,Oppervlakte,rental_price,service_costs,rooms,bedrooms,Energierating
10,10,Hickorylaan 92,3545 CT,"€ 1.181 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2022,,,81,7 m²,210 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,2e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Balkon aanwezig,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814566-hickorylaan-92/,Plat dak bedekt met bitumineuze dakbedekking,4 m²,Parkeerkelder en parkeerplaats,,,A,,,,,,,,,,,,,,,,,,,1.181,"65,00",3 kamers ,2 slaapkamers,
11,11,CAB-rondom 135,3534 BJ,€ 927 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2022,,,74,11 m²,192 m³,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,Balkon aanwezig,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42991027-cab-rondom-135/,Plat dak bedekt met bitumineuze dakbedekking,,,,,A,,,,,,,,,,,,,,,,,,,927,,2 kamers ,1 slaapkamer,
12,12,CAB-rondom 11,3534 BJ,€ 934 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Maisonnette (appartement),Nieuwbouw,2022,,,75,,195 m³,2 kamers,1 badkamer en 1 apart toilet,,2 woonlagen,,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42991063-cab-rondom-11/,Plat dak bedekt met bitumineuze dakbedekking,,,,,A,,Zonneterras,,,,,,,,,,,,,,,,,934,,2 kamers,,
13,13,CAB-rondom 9,3534 BJ,€ 927 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2022,,,74,,192 m³,2 kamers,1 badkamer en 1 apart toilet,,2 woonlagen,,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42991940-cab-rondom-9/,Plat dak bedekt met bitumineuze dakbedekking,,,,,A,,Zonneterras,,,,,,,,,,,,,,,,,927,,2 kamers,,
14,14,Plesmanlaan 50 1,3555 AP,€ 1.350 per maand (geen servicekosten),€ 1.350 eenmalig,Tijdelijke verhuur,19 oktober 2022,Beschikbaar,Beschikbaar per 7-11-2022,Galerijflat (appartement),Bestaande bouw,1957,Gemeubileerd,,61,2 m²,200 m³,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,3e woonlaag,Elektra,,Dubbel glas,Gaskachels,Elektrische boiler,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42974406-plesmanlaan-50-1/,Plat dak bedekt met bitumineuze dakbedekking,,,,,G,,,,,,5 m²,Inpandig,,,,,,,,,,,,1.350,,2 kamers ,1 slaapkamer,
15,15,Grifthoek 104,3514 JJ,"€ 1.360 per maand (exclusief servicekosten à € 50,00 /mnd)",€ 2.720 eenmalig,Onbepaalde tijd,2 weken,Beschikbaar,Per direct beschikbaar,Portiekflat (appartement),Bestaande bouw,,,,60,,240 m³,1 kamer (1 slaapkamer),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",1 woonlaag,2e woonlaag,,,,Cv-ketel,Cv-ketel,,,,https://www.funda.nl/huur/utrecht/appartement-42970364-grifthoek-104/,,4 m²,Parkeerplaats,,,B,"Combiketel, eigendom",,,,2001-2010,6 m²,,,,,,,,,,,,,1.360,"50,00",1 kamer ,1 slaapkamer,
16,16,CAB-rondom 149,3534 BJ,€ 927 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,Vandaag,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2023,,,74,11 m²,192 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,5e woonlaag,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,Balkon aanwezig,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42992399-cab-rondom-149/,Plat dak bedekt met bitumineuze dakbedekking,2 m²,,,,A,,,,,,,,,,,,,,,,,,,927,,3 kamers ,2 slaapkamers,
17,17,CAB-rondom 157,3534 BJ,€ 927 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2023,,,74,11 m²,192 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,5e woonlaag,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,Balkon aanwezig,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42992963-cab-rondom-157/,Plat dak bedekt met bitumineuze dakbedekking,2 m²,,,,A,,,,,,,,,,,,,,,,,,,927,,3 kamers ,2 slaapkamers,
18,18,CAB-rondom 159,3534 BJ,€ 1.610 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2023,,,110,42 m²,286 m³,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,,1 woonlaag,5e woonlaag,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,Balkon aanwezig,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42992057-cab-rondom-159/,Plat dak bedekt met bitumineuze dakbedekking,2 m²,,,,A,,,,,,,,,,,,,,,,,,,1.610,,3 kamers ,2 slaapkamers,
19,19,Bollenhofsestraat 39 A,3572 VH,€ 1.500 per maand (geen servicekosten),€ 1.500 eenmalig,Onbepaalde tijd,14 oktober 2022,Beschikbaar,In overleg,,Bestaande bouw,1906,,,72,,200 m³,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,3 woonlagen,,,,Volledig geïsoleerd,Cv-ketel,Cv-ketel,Aan rustige weg en in woonwijk,,Openbaar parkeren en parkeervergunningen,https://www.funda.nl/huur/utrecht/huis-42983493-bollenhofsestraat-39-a/,,,,"Eengezinswoning, hoekwoning",64 m²,Niet beschikbaar,"Combiketel uit 2018, eigendom",,,,,,,,,,,,,,,,,,1.500,,3 kamers ,2 slaapkamers,
